time,id,temp,hum,PM1,PM2.5,PM10
2021-03-19 09:45:16 CET,200,1.8,67.3,4.2,9.52,15.14
2021-03-19 09:50:16 CET,201,1.7,66.8,5.39,5.93,5.93
2021-03-19 09:55:16 CET,202,2.1,66.2,4.92,14.45,24.85
2021-03-19 10:00:16 CET,203,1.9,66.6,8.32,14.5,20.64
2021-03-19 10:05:16 CET,204,2.2,66.0,4.04,4.45,4.45
2021-03-19 10:10:16 CET,205,2.8,64.4,2.06,6.41,11.18
2021-03-19 10:15:16 CET,206,2.5,64.8,8.49,27.45,48.26
2021-03-19 10:20:16 CET,207,3.2,63.4,4.06,8.5,13.13
2021-03-19 10:25:17 CET,208,4.0,60.5,4.71,5.19,5.19
2021-03-19 10:30:16 CET,209,3.5,61.0,3.37,3.71,3.71
2021-03-19 10:35:17 CET,210,3.6,61.4,10.3,12.55,13.92
2021-03-19 10:40:16 CET,211,4.5,58.5,13.14,24.36,35.72
2021-03-19 10:45:16 CET,212,3.8,60.2,11.44,12.61,12.61
2021-03-19 10:50:17 CET,213,4.4,56.9,6.73,7.42,7.42
2021-03-19 10:55:16 CET,214,4.2,58.7,2.69,2.97,2.97
2021-03-19 11:00:16 CET,215,4.3,57.5,6.42,13.14,20.11
2021-03-19 11:05:16 CET,216,4.8,55.1,7.9,19.42,31.74
2021-03-19 11:10:16 CET,217,6.5,52.8,7.41,8.16,8.16
2021-03-19 11:15:16 CET,218,8.2,45.0,8.75,9.64,9.64
2021-03-19 11:20:17 CET,219,9.0,42.4,5.77,8.61,11.2
2021-03-19 11:25:16 CET,220,10.4,41.1,9.3,21.28,33.97
2021-03-19 11:30:16 CET,221,12.3,38.3,5.35,9.62,13.9
2021-03-19 11:35:16 CET,222,10.2,42.1,6.5,13.64,21.11
2021-03-19 11:40:16 CET,223,8.4,44.7,9.7,16.24,22.63
2021-03-19 11:45:16 CET,224,6.5,50.3,8.44,15.34,22.3
2021-03-19 11:50:16 CET,225,6.8,49.8,8.51,23.69,40.16
2021-03-19 11:55:19 CET,226,6.6,50.3,9.81,20.89,32.5
2021-03-19 12:00:16 CET,227,6.8,50.1,8.59,16.41,24.39
2021-03-19 12:05:17 CET,228,6.1,50.5,2.02,2.23,2.23
2021-03-19 12:10:17 CET,229,6.2,50.9,3.55,5.02,6.28
2021-03-19 12:15:16 CET,230,6.0,50.6,13.74,24.6,35.49
2021-03-19 12:20:17 CET,231,10.1,41.7,9.23,12.96,16.16
2021-03-19 12:25:17 CET,232,14.8,34.2,7.41,8.16,8.16
2021-03-19 12:30:16 CET,233,17.7,30.6,4.71,5.19,5.19
2021-03-19 12:35:23 CET,234,17.0,31.7,9.92,21.66,34.0
2021-03-19 12:40:16 CET,235,19.7,28.7,9.54,22.93,37.21
2021-03-19 12:45:16 CET,236,19.6,27.0,9.55,19.07,28.91
2021-03-19 12:50:18 CET,237,10.6,37.2,13.18,24.67,36.33
